P1_Cell1,P1_Cell2,P1_Cell3,P1_Cell4,P1_Cell5,P1_Cell6,P1_Cell7,P1_Cell8,P1_Cell9,P2_Cell1,P2_Cell2,P2_Cell3,P2_Cell4,P2_Cell5,P2_Cell6,P2_Cell7,P2_Cell8,P2_Cell9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0
1,0,0,0,1,1,0,2,2,0,0,0,2,0,0,0,0,0
1,1,0,2,1,1,0,2,2,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0
2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0
2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2
0,2,1,1,1,0,2,1,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0
0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0
0,1,2,2,0,1,1,2,1,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1,2,2,1,1,0,0,1,2,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0
1,1,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0
1,1,2,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
0,2,2,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
0,2,2,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2,1,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0
